,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo
183,0.164,0.645,0.46823858903071036,0.984,0.00701,0.164,1.0,0.0508,0.613702179545801
184,0.0699,0.636,0.3742028629862624,0.808,0.0,0.153,1.0,0.0534,0.31758793544344527
185,0.0586,0.578,0.5421153725742092,0.639,0.0,0.0944,1.0,0.0374,0.4574378905654626
186,0.377,0.403,0.5018508913382034,0.724,0.0,0.0927,1.0,0.246,0.4112389710240647
187,0.174,0.188,0.5579945288451231,0.411,0.153,0.0843,1.0,0.0484,0.7933072532981084
188,0.0938,0.288,0.5146882862028659,0.754,0.0,0.238,0.0,0.0476,0.7370785280021677
189,0.0421,0.571,0.4536790713063532,0.763,0.0,0.394,1.0,0.05,0.4231866754729123
190,0.00112,0.581,0.5245508267174053,0.925,0.0,0.406,1.0,0.151,0.5926518653999221
191,0.0536,0.481,0.5476628125077592,0.49,0.123,0.0915,1.0,0.0271,0.6437026875984352
192,0.272,0.665,0.48338116061888003,0.488,0.000261,0.181,1.0,0.0981,0.6015639553591084
193,0.547,0.303,0.4822530319300746,0.68,0.929,0.872,1.0,0.0731,0.5020449118528679
194,0.0386,0.591,0.49371597936606926,0.864,0.0,0.139,1.0,0.155,0.542231875222273
195,0.00527,0.607,0.5216931974082231,0.678,0.0,0.332,0.0,0.0335,0.49098206574201086
196,0.00887,0.572,0.49404576975275627,0.811,5.65e-06,0.124,0.0,0.066,0.5332266422801402
197,0.0411,0.603,0.5000742817714716,0.834,0.00609,0.105,0.0,0.0417,0.38085742349574075
198,0.0976,0.699,0.4694049784687764,0.709,0.000124,0.0852,0.0,0.0889,0.6349599485173331
199,0.777,0.303,0.4894831866930429,0.393,0.000102,0.106,1.0,0.0458,0.7630527189283476
200,0.0584,0.617,0.502465089349831,0.567,0.0,0.0933,1.0,0.0828,0.3820809835898999
201,0.0232,0.603,0.4960941497343283,0.618,0.0,0.118,1.0,0.0319,0.4746651086385883
202,0.126,0.74,0.5072316555557475,0.7,0.0,0.208,0.0,0.165,0.38091669630307035
203,0.755,0.765,0.4138362356003822,0.524,0.0,0.239,0.0,0.101,0.48560094159088213
204,0.922,0.422,0.5374265411456673,0.264,0.0,0.132,1.0,0.0322,0.5077562702162611
205,0.00886,0.54,0.5165085161187832,0.557,0.000182,0.307,1.0,0.0259,0.3176810784263916
206,0.0719,0.683,0.5379768277799979,0.975,0.000384,0.325,1.0,0.068,0.43618858913783465
207,0.184,0.664,0.5116290756154362,0.792,0.000417,0.106,1.0,0.0283,0.5925629561889278
208,0.349,0.483,0.5626147342110506,0.781,0.0,0.126,1.0,0.0445,0.35471388169147655
209,0.987,0.428,0.6246992378670466,0.237,0.896,0.0849,0.0,0.0351,0.3382953140612034
210,0.91,0.635,0.4481226820365609,0.238,0.914,0.0857,0.0,0.0317,0.5080738031126691
211,0.249,0.453,0.5529910663478104,0.434,0.478,0.0894,0.0,0.0291,0.4573151111788515
212,0.0277,0.648,0.4723296895401239,0.707,2.79e-05,0.099,1.0,0.0268,0.5418000304831581
213,0.656,0.741,0.5277184008664269,0.354,0.702,0.384,1.0,0.0812,0.5081288421480465
